Menu_Item_ID,Year,Restaurant_Item_Name,restaurant,Restaurant_ID,Item_Name,Item_Description,Food_Category,Serving_Size,Serving_Size_text,Serving_Size_Unit,Serving_Size_household,Calories,Total_Fat,Saturated_Fat,Trans_Fat,Cholesterol,Sodium,Potassium,Carbohydrates,Protein,Sugar,Dietary_Fiber
120747,2018,"Carl's Jr. The 1/2 lb Guacamole Thickburger, Gluten Sensitive",Carl's Jr.,15,"The 1/2 lb Guacamole Thickburger, Gluten Sensitive","The 1/2 lb Guacamole Thickburger, Guacamole, Bacon, 2 Slices Cheese, Red Onion, 2 Slices Tomato & Special Sauce in a Lettuce Wrap, Gluten Sensitive, Charbroiled Burgers, also called The Guacamole Thickburger w/ Angus Beef Patty",Burgers,376,,g,,780,66,22,2,135,1630,,9,41,5,2
45273,2018,Jersey Mike's Subs #19 BBQ Beef on Wheat Giant,Jersey Mike's Subs,45,#19 BBQ Beef on Wheat Giant,"#19 BBQ Beef on Wheat Giant w/ Roast Beef & BBQ Sauce, Hot Subs, Not Available In All Locations",Sandwiches,633,,g,,1650,32,10.5,0,230,4650,,237,105,45,8
18788,2018,Long John Silver's 1 Baja Fish Taco,Long John Silver's,52,1 Baja Fish Taco,"1 Baja Fish Taco w/ Battered Alaskan Pollock, Cole Slaw & Baja Sauce, Sandwiches & Tacos",Sandwiches,175,,g,1 Taco,410,21,4,0,35,1290,,40,13,7,3
29956,2018,Del Taco Del Cheeseburger,Del Taco,27,Del Cheeseburger,"Del Cheeseburger, American Grill",Burgers,191,,g,,470,28,10,1,70,850,,34,17,7,1
170712,2018,"Bob Evans Cheddar Baked Potato, Family Size",Bob Evans,8,"Cheddar Baked Potato, Family Size","Cheddar Baked Potato w/ Saltine Crackers, Family Size, Soups, Family Meals To Go, Carryout",Soup,229,,g,,230,11,6,0,35,940,,23,9,3,1
172579,2018,"Einstein Bros Spinach, Mushroom & Swiss on Ancient Grain w/ Egg White",Einstein Bros,31,"Spinach, Mushroom & Swiss on Ancient Grain w/ Egg White","Spinach, Mushroom & Swiss w/ Egg White on Ancient Grain, EBB Egg Sandwiches, Egg White Signature",Sandwiches,235,,g,,430,16,7,0,30,950,,53,25,8,9
96598,2018,Jersey Mike's Subs Chipotle Turkey on White Mini,Jersey Mike's Subs,45,Chipotle Turkey on White Mini,"Chipotle Turkey on White Mini w/ Chipotle Mayonnaise, Cold Subs",Sandwiches,281,,g,,480,23.5,6.5,0,50,1520,,45,22,5,2
3359,2018,Einstein Bros Green Chile Bagel,Einstein Bros,31,Green Chile Bagel,"Green Chile Bagel, Gourmet Bagels, Fresh Baked Bagels, Bagels",Baked Goods,155,,g,1 Bagel,390,12,5,0,25,780,,54,18,6,3
69031,2018,"Jersey Mike's Subs #4 Ham, Egg & Cheese Sandwich on White Sub Roll",Jersey Mike's Subs,45,"#4 Ham, Egg & Cheese Sandwich on White Sub Roll","Ham, Egg & Cheese Sandwich on White Sub Roll, Breakfast Sandwiches",Sandwiches,264,,g,,480,19,7.5,0,485,1695,,42,35,1,1
69038,2018,Jersey Mike's Subs California Dreamin on Wheat Regular,Jersey Mike's Subs,45,California Dreamin on Wheat Regular,"California Dreamin on Wheat Regular w/out Oil, Vinegar & Mayo, Cold Subs",Sandwiches,399,,g,,480,8.5,2,0,35,1460,,68,32,8,8
173873,2018,Hardee's 2/3 lb Original Thickburger,Hardee's,38,2/3 lb Original Thickburger,"2/3 lb Original Thickburger, Thickburgers & Sandwiches",Burgers,443,,g,,1100,73,26,4,210,2470,,57,58,15,3
60927,2018,Del Taco Epic Scrambler w/ Carne Asada Steak,Del Taco,27,Epic Scrambler w/ Carne Asada Steak,"Epic Scrambler w/ Carne Asada Steak, Scrambled Eggs, Pico De Gallo Salsa, Cheddar Cheese, Zesty Red Sauce & Hashbrown Sticks in a Flour Tortilla, Breakfast",Sandwiches,459,,g,,960,54,20,0,595,1890,,73,39,6,3
